age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,was_contacted_before,has_loan_burden,prev_success,age_group,economic_sentiment
37,services,single,university.degree,no,yes,no,cellular,may,tue,1,999,1,nonexistent,-2.9,93.076,-31.9,3.569,5008.7,yes,1,1,0,middle_age,0.7907949790794979
40,technician,married,basic.9y,unknown,yes,yes,cellular,mar,fri,1,999,0,nonexistent,-1.1,94.097,-37.3,1.739,4963.6,no,0,1,0,middle_age,0.5648535564853557
22,housemaid,married,basic.9y,unknown,no,no,cellular,may,thu,4,999,0,failure,-1.1,94.26,-29.1,1.228,5076.2,no,0,0,0,young,0.907949790794979
33,retired,single,high.school,unknown,yes,no,telephone,jul,mon,3,999,3,nonexistent,1.1,94.205,-29.9,3.509,5195.8,no,1,1,0,young_adult,0.8744769874476988
41,management,married,university.degree,no,no,yes,cellular,jan,fri,1,999,0,nonexistent,-3.4,92.409,-37.0,3.279,5228.1,no,0,1,0,middle_age,0.5774058577405857
26,management,married,unknown,unknown,yes,no,telephone,jun,mon,3,999,0,failure,-1.8,94.179,-37.6,3.366,4963.6,no,0,1,0,young_adult,0.5523012552301254
44,blue-collar,married,university.degree,no,yes,no,telephone,nov,thu,4,999,1,nonexistent,-1.1,92.411,-47.2,4.949,5008.7,no,1,1,0,middle_age,0.1506276150627613
32,services,married,university.degree,no,no,no,telephone,aug,mon,5,999,0,nonexistent,-2.9,94.734,-49.4,2.059,5017.5,no,0,0,0,young_adult,0.05857740585774053
36,technician,single,basic.6y,no,no,no,cellular,may,mon,1,999,0,failure,1.4,93.152,-33.3,4.982,5195.8,no,0,0,0,middle_age,0.7322175732217574
32,technician,single,basic.4y,unknown,no,no,cellular,apr,thu,1,999,0,nonexistent,-0.1,93.98,-36.2,0.841,5228.1,no,0,0,0,young_adult,0.6108786610878659
62,blue-collar,divorced,professional.course,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.1,93.444,-31.8,0.812,5017.5,no,0,1,0,senior,0.7949790794979078
39,technician,divorced,basic.9y,no,yes,no,cellular,may,wed,5,999,0,nonexistent,1.4,92.819,-50.4,4.422,5076.2,no,0,1,0,middle_age,0.01673640167364011
27,services,married,university.degree,no,no,no,cellular,dec,wed,1,999,0,nonexistent,-0.1,93.768,-28.5,2.054,5195.8,no,0,0,0,young_adult,0.9330543933054393
49,blue-collar,divorced,professional.course,no,yes,no,telephone,dec,mon,2,999,1,nonexistent,-0.1,92.242,-49.1,2.21,5017.5,no,1,1,0,middle_age,0.07112970711297054
25,admin.,married,unknown,no,no,no,telephone,may,thu,1,999,0,nonexistent,-1.8,93.497,-29.2,0.86,5176.3,no,0,0,0,young_adult,0.903765690376569
42,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,92.301,-46.2,0.644,4963.6,no,0,1,0,middle_age,0.1924686192468617
18,technician,married,high.school,no,unknown,no,cellular,oct,mon,6,18,0,nonexistent,-1.1,93.658,-44.6,3.426,5191.0,no,0,0,0,young,0.25941422594142244
24,retired,divorced,high.school,unknown,no,no,cellular,aug,tue,1,999,0,nonexistent,1.1,93.374,-30.0,2.94,5099.1,no,0,0,0,young,0.8702928870292886
42,services,married,basic.9y,no,yes,unknown,telephone,jun,wed,4,999,0,nonexistent,1.1,94.497,-40.0,3.844,5076.2,no,0,1,0,middle_age,0.4518828451882844
48,blue-collar,married,professional.course,unknown,yes,yes,telephone,may,wed,2,999,0,nonexistent,-1.8,94.68,-34.2,1.637,5195.8,no,0,1,0,middle_age,0.6945606694560668
42,services,married,high.school,no,unknown,no,cellular,may,wed,1,999,1,nonexistent,1.1,93.872,-29.3,4.372,5195.8,no,1,0,0,middle_age,0.899581589958159
38,admin.,single,high.school,no,no,unknown,cellular,oct,thu,8,999,0,nonexistent,-1.1,92.676,-43.8,1.791,5191.0,no,0,0,0,middle_age,0.29288702928870297
36,housemaid,single,high.school,no,no,unknown,cellular,apr,fri,3,999,0,nonexistent,-1.8,93.544,-47.6,2.61,4963.6,no,0,0,0,middle_age,0.13389121338912116
22,retired,married,basic.4y,no,no,no,cellular,aug,tue,3,999,0,nonexistent,-1.8,92.205,-37.9,2.258,5176.3,no,0,0,0,young,0.5397489539748954
31,blue-collar,divorced,high.school,unknown,yes,no,cellular,jan,wed,4,999,0,nonexistent,-1.1,94.172,-41.5,4.406,5017.5,no,0,1,0,young_adult,0.3891213389121338
34,technician,single,high.school,no,yes,yes,telephone,oct,thu,2,999,0,nonexistent,1.1,92.307,-31.7,4.255,5195.8,no,0,1,0,young_adult,0.7991631799163179
52,blue-collar,single,basic.4y,unknown,no,no,cellular,may,wed,3,999,0,nonexistent,-0.1,94.273,-50.7,2.582,5017.5,no,0,0,0,senior,0.004184100418409804
44,retired,single,high.school,yes,yes,no,telephone,may,tue,1,999,1,failure,-1.1,92.88,-36.9,2.211,5195.8,no,1,1,0,middle_age,0.5815899581589958
18,management,married,basic.9y,no,no,no,cellular,jan,thu,5,999,0,nonexistent,-3.4,92.843,-38.5,4.099,5099.1,no,0,0,0,young,0.5146443514644351
43,management,single,high.school,no,no,no,telephone,jun,thu,3,999,0,nonexistent,-0.1,92.431,-30.5,1.577,5099.1,no,0,0,0,middle_age,0.8493723849372384
35,admin.,married,basic.6y,no,no,no,telephone,may,wed,1,999,0,nonexistent,-0.1,93.961,-37.0,4.784,5195.8,no,0,0,0,middle_age,0.5774058577405857
31,admin.,single,high.school,no,no,no,cellular,jul,tue,6,999,0,nonexistent,-2.9,93.14,-27.0,2.037,5017.5,no,0,0,0,young_adult,0.9958158995815899
47,technician,single,university.degree,no,no,no,telephone,may,wed,3,999,2,nonexistent,1.4,92.432,-50.2,2.678,5076.2,no,1,0,0,middle_age,0.025104602510460015
52,blue-collar,married,professional.course,unknown,no,no,cellular,mar,fri,2,6,0,nonexistent,-2.9,93.025,-38.8,4.199,4963.6,no,0,0,0,senior,0.502092050209205
51,technician,single,university.degree,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-0.1,94.567,-27.5,4.141,5228.1,yes,0,1,0,senior,0.9748953974895397
29,unknown,married,high.school,no,yes,no,cellular,jun,thu,7,999,0,nonexistent,-0.1,92.291,-28.2,3.691,5017.5,no,0,1,0,young_adult,0.9456066945606694
36,blue-collar,single,high.school,no,no,no,cellular,may,thu,8,999,0,nonexistent,1.4,93.918,-45.6,1.145,5195.8,no,0,0,0,middle_age,0.21757322175732202
43,blue-collar,married,university.degree,no,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.1,93.487,-31.0,1.702,4963.6,no,0,1,0,middle_age,0.8284518828451882
51,self-employed,single,high.school,unknown,yes,no,telephone,jun,wed,2,999,1,nonexistent,-0.1,93.735,-31.6,3.781,4963.6,no,1,1,0,senior,0.8033472803347279
34,technician,divorced,university.degree,unknown,no,unknown,cellular,jun,mon,2,999,0,nonexistent,-0.1,93.206,-27.8,4.425,5176.3,no,0,0,0,young_adult,0.9623430962343096
37,technician,married,high.school,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,1.1,93.437,-38.6,1.376,5176.3,no,0,1,0,middle_age,0.510460251046025
26,management,married,high.school,unknown,yes,no,telephone,may,tue,3,999,1,nonexistent,1.1,94.149,-38.2,4.997,5191.0,no,1,1,0,young_adult,0.5271966527196651
25,student,married,university.degree,no,yes,no,telephone,apr,thu,1,999,0,failure,-1.1,93.441,-32.0,3.374,4963.6,no,0,1,0,young_adult,0.7866108786610878
49,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,7,999,1,nonexistent,1.4,93.167,-26.9,4.256,5017.5,no,1,1,0,middle_age,1.0
56,unemployed,married,high.school,no,yes,no,cellular,jun,fri,1,999,0,nonexistent,1.1,92.909,-43.4,4.099,5076.2,no,0,1,0,senior,0.30962343096234307
39,technician,married,basic.9y,unknown,no,no,cellular,may,thu,4,999,0,nonexistent,-3.4,93.357,-34.5,1.107,5228.1,no,0,0,0,middle_age,0.6820083682008368
52,blue-collar,married,high.school,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-1.8,93.678,-34.8,2.145,5195.8,no,0,1,0,senior,0.6694560669456068
44,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.162,-30.3,2.656,5076.2,no,0,0,0,middle_age,0.8577405857740584
32,admin.,single,professional.course,no,yes,yes,cellular,jun,tue,3,999,0,success,-0.1,94.513,-35.3,1.781,5191.0,yes,0,1,1,young_adult,0.6485355648535566
44,blue-collar,divorced,university.degree,no,no,no,cellular,mar,mon,4,999,0,nonexistent,-1.8,94.757,-39.8,3.644,5228.1,no,0,0,0,middle_age,0.46025104602510464
58,technician,married,university.degree,unknown,no,no,telephone,aug,mon,4,999,0,success,-1.8,92.725,-43.4,3.111,5195.8,no,0,0,1,senior,0.30962343096234307
39,housemaid,married,high.school,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,-1.8,93.854,-27.6,4.961,5099.1,no,0,1,0,middle_age,0.9707112970711296
58,admin.,married,unknown,no,no,yes,cellular,aug,fri,2,999,0,nonexistent,-1.1,92.73,-42.8,1.44,5228.1,yes,0,1,0,senior,0.3347280334728034
18,entrepreneur,married,professional.course,no,yes,no,telephone,sep,mon,6,999,0,nonexistent,1.4,93.589,-44.7,3.109,5099.1,no,0,1,0,young,0.25523012552301233
49,unemployed,married,high.school,no,no,unknown,telephone,aug,thu,4,9,0,nonexistent,-1.1,93.21,-31.9,4.604,5017.5,no,0,0,0,middle_age,0.7907949790794979
41,retired,single,university.degree,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,-0.1,92.831,-38.9,0.809,5176.3,no,0,1,0,middle_age,0.49790794979079495
36,management,married,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,-2.9,93.079,-46.4,2.829,5017.5,no,0,0,0,middle_age,0.1841004184100418
41,blue-collar,married,university.degree,no,no,no,cellular,may,tue,4,999,1,nonexistent,-0.1,92.517,-42.2,1.574,5008.7,no,1,0,0,middle_age,0.35983263598326337
18,unemployed,divorced,basic.9y,no,no,no,telephone,nov,wed,2,999,1,nonexistent,-1.1,92.405,-45.9,4.861,5191.0,no,1,0,0,young,0.205020920502092
37,technician,married,high.school,no,yes,no,telephone,oct,wed,2,999,0,nonexistent,-1.8,93.356,-45.8,3.569,5017.5,no,0,1,0,middle_age,0.2092050209205021
44,blue-collar,married,university.degree,no,yes,no,cellular,jun,fri,1,999,0,nonexistent,1.1,94.293,-49.0,1.838,5099.1,no,0,1,0,middle_age,0.07531380753138064
57,admin.,single,high.school,no,yes,no,cellular,may,tue,1,999,0,nonexistent,1.1,93.953,-35.4,5.0,5228.1,no,0,1,0,senior,0.6443514644351465
33,admin.,married,university.degree,no,unknown,yes,cellular,sep,fri,2,999,0,nonexistent,-1.1,93.729,-41.9,1.597,5076.2,no,0,1,0,young_adult,0.3723849372384937
30,blue-collar,married,professional.course,no,yes,no,telephone,may,thu,1,999,0,nonexistent,-0.1,93.28,-49.4,2.094,5228.1,no,0,1,0,young_adult,0.05857740585774053
33,management,married,university.degree,no,yes,no,telephone,apr,tue,2,999,0,nonexistent,-1.1,93.403,-35.2,3.612,5176.3,no,0,1,0,young_adult,0.6527196652719663
50,technician,single,basic.9y,no,no,no,cellular,jul,mon,4,999,0,nonexistent,-3.4,92.256,-43.7,3.137,5017.5,no,0,0,0,senior,0.29707112970711275
43,management,married,professional.course,unknown,no,no,telephone,feb,thu,9,999,0,nonexistent,-1.1,94.613,-46.9,4.271,4963.6,no,0,0,0,middle_age,0.16317991631799159
33,technician,married,basic.6y,no,no,no,telephone,may,tue,1,999,0,nonexistent,-0.1,92.999,-27.8,3.586,5195.8,no,0,0,0,young_adult,0.9623430962343096
46,management,married,university.degree,unknown,no,no,telephone,aug,fri,1,999,0,failure,-1.1,94.547,-49.0,3.184,5076.2,no,0,0,0,middle_age,0.07531380753138064
41,services,married,university.degree,unknown,yes,no,telephone,may,mon,2,999,2,nonexistent,1.4,94.039,-41.6,2.114,5176.3,no,1,1,0,middle_age,0.3849372384937237
51,services,single,basic.4y,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.642,-36.1,1.939,5008.7,no,0,1,0,senior,0.615062761506276
31,blue-collar,married,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-1.1,93.343,-27.1,1.066,5076.2,no,0,1,0,young_adult,0.9916317991631798
36,entrepreneur,married,high.school,no,yes,no,telephone,aug,thu,2,999,0,nonexistent,1.1,93.03,-48.8,2.411,5195.8,no,0,1,0,middle_age,0.08368200836820085
35,retired,single,basic.6y,no,unknown,no,telephone,dec,tue,3,999,0,nonexistent,-1.1,93.839,-28.5,4.115,5008.7,no,0,0,0,middle_age,0.9330543933054393
22,admin.,married,high.school,unknown,yes,no,cellular,jun,fri,5,999,0,nonexistent,-3.4,94.691,-29.7,1.889,5176.3,no,0,1,0,young,0.8828451882845187
43,entrepreneur,married,basic.9y,yes,no,yes,cellular,jun,thu,16,999,0,failure,-3.4,94.265,-32.2,4.521,5008.7,no,0,1,0,middle_age,0.7782426778242676
43,management,married,high.school,no,no,no,telephone,aug,wed,4,999,0,nonexistent,-1.1,93.205,-48.3,4.169,5195.8,no,0,0,0,middle_age,0.10460251046025106
40,unemployed,married,high.school,no,no,yes,telephone,may,wed,1,999,0,nonexistent,-1.8,93.438,-43.8,5.035,5017.5,no,0,1,0,middle_age,0.29288702928870297
37,management,divorced,university.degree,unknown,no,no,cellular,may,wed,4,999,0,nonexistent,-1.1,93.403,-44.3,3.836,5228.1,no,0,0,0,middle_age,0.27196652719665276
23,technician,single,university.degree,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.1,92.867,-38.0,0.851,5176.3,no,0,1,0,young,0.5355648535564853
34,management,married,professional.course,yes,yes,no,telephone,jul,fri,2,999,1,nonexistent,-1.1,94.375,-47.9,3.252,5017.5,no,1,1,0,young_adult,0.12133891213389116
35,student,divorced,basic.4y,no,no,no,telephone,aug,tue,7,999,0,success,-0.1,93.979,-31.3,1.965,5008.7,no,0,0,1,middle_age,0.815899581589958
30,management,single,university.degree,no,yes,no,telephone,jul,tue,4,999,1,nonexistent,1.4,93.734,-34.5,4.818,5195.8,no,1,1,0,young_adult,0.6820083682008368
38,technician,married,university.degree,no,yes,yes,telephone,aug,fri,3,999,0,nonexistent,-0.1,93.313,-30.2,3.775,5076.2,yes,0,1,0,middle_age,0.8619246861924685
44,management,divorced,basic.4y,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-0.1,92.814,-45.5,4.087,5195.8,no,0,0,0,middle_age,0.2217573221757321
62,management,married,university.degree,no,no,no,telephone,may,fri,6,999,0,failure,1.1,93.843,-36.0,3.11,5191.0,no,0,0,0,senior,0.6192468619246861
42,retired,single,basic.9y,no,yes,yes,telephone,apr,thu,4,999,0,nonexistent,-1.1,92.809,-30.5,4.899,5008.7,no,0,1,0,middle_age,0.8493723849372384
43,management,single,professional.course,no,yes,no,cellular,aug,mon,1,999,1,nonexistent,-1.8,92.224,-49.6,1.387,5191.0,no,1,1,0,middle_age,0.05020920502092033
39,blue-collar,single,high.school,no,no,yes,telephone,feb,tue,1,999,0,nonexistent,1.1,92.372,-37.6,2.351,5076.2,no,0,1,0,middle_age,0.5523012552301254
18,admin.,single,high.school,no,no,yes,telephone,dec,wed,1,999,1,nonexistent,-2.9,93.982,-33.4,2.84,5176.3,no,1,1,0,young,0.7280334728033473
39,admin.,divorced,university.degree,no,no,no,telephone,aug,fri,1,999,0,nonexistent,-1.1,93.17,-41.9,3.075,5195.8,no,0,0,0,middle_age,0.3723849372384937
40,technician,married,high.school,no,no,no,cellular,jul,tue,3,999,0,nonexistent,-1.1,92.731,-42.4,4.059,5228.1,no,0,0,0,middle_age,0.3514644351464435
69,blue-collar,single,basic.4y,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,1.4,92.811,-50.0,3.847,5076.2,no,0,1,0,elderly,0.03347280334728022
37,blue-collar,married,university.degree,no,no,no,cellular,jul,fri,7,999,0,failure,-1.1,93.47,-39.1,0.875,5017.5,no,0,0,0,middle_age,0.48953974895397473
43,services,married,university.degree,no,no,no,cellular,feb,mon,5,999,0,nonexistent,-0.1,94.524,-36.5,3.826,5008.7,no,0,0,0,middle_age,0.5983263598326359
39,blue-collar,married,university.degree,no,no,no,cellular,jun,wed,2,18,0,nonexistent,-1.8,92.891,-33.1,1.791,5076.2,no,0,0,0,middle_age,0.7405857740585773
25,management,married,high.school,no,yes,no,cellular,may,wed,2,999,0,failure,1.4,93.883,-48.7,2.469,5008.7,no,0,1,0,young_adult,0.08786610878661065
53,blue-collar,single,basic.4y,no,no,yes,cellular,may,mon,1,24,0,failure,-1.8,94.319,-40.8,2.62,5017.5,yes,0,1,0,senior,0.4184100418410042
49,technician,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.4,93.455,-44.6,3.693,4963.6,no,0,0,0,middle_age,0.25941422594142244
49,technician,married,basic.4y,no,yes,no,cellular,aug,tue,1,999,0,success,-1.1,92.27,-45.9,3.639,5191.0,no,0,1,1,middle_age,0.205020920502092
29,technician,single,basic.4y,no,no,no,cellular,may,mon,2,999,0,failure,-1.1,94.244,-44.9,2.303,5176.3,no,0,0,0,young_adult,0.24686192468619242
56,management,married,high.school,unknown,no,no,cellular,may,wed,8,999,0,nonexistent,1.1,94.457,-42.2,4.221,4963.6,no,0,0,0,senior,0.35983263598326337
23,services,married,basic.9y,no,no,no,cellular,may,wed,7,999,1,nonexistent,-2.9,92.281,-33.3,1.17,5228.1,no,1,0,0,young,0.7322175732217574
47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,5,999,0,nonexistent,-0.1,92.499,-40.4,1.661,5176.3,no,0,1,0,middle_age,0.4351464435146443
66,admin.,single,high.school,unknown,unknown,no,cellular,may,wed,3,999,1,nonexistent,-1.8,92.424,-49.3,2.507,5099.1,no,1,0,0,elderly,0.06276150627615062
28,admin.,single,basic.6y,no,no,no,telephone,may,tue,5,999,0,nonexistent,-1.8,92.769,-42.5,1.599,4963.6,yes,0,0,0,young_adult,0.3472803347280334
33,management,single,basic.9y,unknown,no,yes,cellular,aug,mon,2,999,1,nonexistent,1.1,93.474,-48.2,4.726,5099.1,no,1,1,0,young_adult,0.10878661087866086
41,management,married,basic.4y,no,no,no,cellular,may,tue,1,999,0,nonexistent,1.4,92.287,-45.7,4.727,5008.7,no,0,0,0,middle_age,0.2133891213389119
33,management,married,basic.9y,no,yes,no,cellular,feb,wed,3,999,1,nonexistent,1.4,92.635,-47.7,1.387,5191.0,no,1,1,0,young_adult,0.12970711297071108
21,admin.,single,university.degree,no,yes,unknown,cellular,may,fri,7,999,0,nonexistent,1.1,93.246,-27.6,2.457,5176.3,no,0,1,0,young,0.9707112970711296
40,management,single,university.degree,no,yes,yes,cellular,jul,tue,1,999,0,nonexistent,1.4,93.825,-29.8,5.01,5076.2,no,0,1,0,middle_age,0.8786610878661086
27,services,married,high.school,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,94.535,-35.9,0.72,5017.5,no,0,1,0,young_adult,0.6234309623430963
45,management,married,high.school,no,yes,no,telephone,nov,thu,1,999,0,failure,-1.8,94.33,-44.8,0.825,5099.1,no,0,1,0,middle_age,0.2510460251046025
28,services,single,basic.4y,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.339,-46.6,4.352,5017.5,no,0,1,0,young_adult,0.17573221757322158
58,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,fri,1,999,0,nonexistent,-2.9,94.682,-30.7,2.32,5228.1,no,0,1,0,senior,0.8410041841004183
30,technician,single,basic.9y,no,yes,no,cellular,may,tue,2,999,0,nonexistent,-1.8,92.886,-49.1,3.857,5176.3,no,0,1,0,young_adult,0.07112970711297054
36,management,single,illiterate,no,no,no,telephone,mar,mon,8,999,0,failure,1.1,93.134,-34.2,3.361,5008.7,no,0,0,0,middle_age,0.6945606694560668
49,blue-collar,married,university.degree,no,yes,no,cellular,jul,tue,5,999,0,nonexistent,1.4,92.392,-43.8,3.697,5191.0,yes,0,1,0,middle_age,0.29288702928870297
25,blue-collar,married,professional.course,no,yes,no,cellular,may,mon,8,999,1,nonexistent,-1.1,94.603,-39.1,1.505,5195.8,no,1,1,0,young_adult,0.48953974895397473
42,retired,married,high.school,no,yes,no,telephone,jul,wed,1,999,1,nonexistent,-3.4,93.602,-33.4,3.047,5228.1,no,1,1,0,middle_age,0.7280334728033473
55,technician,divorced,basic.6y,no,no,no,cellular,may,fri,1,12,2,nonexistent,-1.1,93.526,-49.9,3.485,5076.2,no,1,0,0,senior,0.03765690376569032
20,management,single,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,1.1,92.24,-46.6,3.07,4963.6,no,0,1,0,young,0.17573221757322158
42,blue-collar,married,high.school,no,yes,no,cellular,may,mon,7,999,1,nonexistent,1.4,92.21,-35.3,4.801,5195.8,no,1,1,0,middle_age,0.6485355648535566
43,technician,married,university.degree,unknown,yes,yes,telephone,aug,mon,1,999,0,nonexistent,-1.1,93.952,-28.8,0.706,4963.6,no,0,1,0,middle_age,0.9205020920502092
49,self-employed,married,high.school,no,no,no,cellular,apr,fri,3,999,1,nonexistent,-1.1,93.439,-44.6,1.581,5099.1,no,1,0,0,middle_age,0.25941422594142244
25,management,married,university.degree,no,no,no,cellular,jun,wed,1,999,0,nonexistent,-0.1,93.503,-47.2,0.959,5008.7,no,0,0,0,young_adult,0.1506276150627613
24,management,married,university.degree,no,no,no,telephone,feb,fri,1,999,1,nonexistent,-1.8,93.869,-28.7,4.884,5195.8,no,1,0,0,young,0.9246861924686192
46,blue-collar,married,university.degree,no,yes,no,cellular,jun,thu,1,999,0,nonexistent,1.1,92.575,-30.1,1.666,5099.1,no,0,1,0,middle_age,0.8661087866108785
43,retired,married,high.school,no,yes,no,telephone,feb,fri,4,999,0,success,-1.1,94.763,-29.1,3.9,5176.3,yes,0,1,1,middle_age,0.907949790794979
43,entrepreneur,married,high.school,no,no,no,cellular,apr,fri,1,999,0,nonexistent,1.4,92.408,-47.8,1.277,5191.0,no,0,0,0,middle_age,0.12552301255230125
44,unemployed,single,basic.9y,unknown,no,no,cellular,mar,wed,1,999,0,nonexistent,1.4,92.888,-28.7,0.864,5076.2,no,0,0,0,middle_age,0.9246861924686192
31,management,married,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-0.1,93.981,-36.9,1.476,5099.1,no,0,1,0,young_adult,0.5815899581589958
42,management,married,high.school,no,no,yes,telephone,may,wed,3,999,0,nonexistent,-0.1,93.525,-34.9,1.852,5228.1,no,0,1,0,middle_age,0.6652719665271967
43,management,married,basic.6y,no,unknown,no,cellular,aug,tue,2,999,0,nonexistent,-2.9,92.449,-39.9,2.655,5176.3,yes,0,0,0,middle_age,0.45606694560669453
31,technician,married,high.school,no,yes,no,cellular,may,tue,8,999,0,nonexistent,-1.1,94.189,-42.3,0.732,5195.8,no,0,1,0,young_adult,0.3556485355648536
62,student,married,basic.6y,no,no,no,cellular,mar,tue,2,999,0,success,1.1,94.691,-48.1,3.357,5076.2,yes,0,0,1,senior,0.11297071129707095
45,management,single,high.school,no,yes,no,cellular,jun,mon,1,999,0,nonexistent,-1.1,93.415,-45.5,3.529,5076.2,no,0,1,0,middle_age,0.2217573221757321
25,services,single,professional.course,no,no,no,cellular,jul,mon,2,999,0,nonexistent,-1.1,92.85,-36.8,1.917,5195.8,yes,0,0,0,young_adult,0.5857740585774059
47,management,married,high.school,no,yes,no,cellular,may,wed,2,999,0,nonexistent,1.1,92.475,-43.2,1.802,5017.5,no,0,1,0,middle_age,0.31799163179916295
28,management,married,basic.4y,no,no,no,cellular,jun,fri,4,999,0,success,-1.1,92.728,-47.9,1.474,5099.1,yes,0,0,1,young_adult,0.12133891213389116
